dataset,extradata,global_rank,metric_name,metric_value,model,remove,task,paper_title,paper_path,paper_url
CIFAR-10 Image Classification,,# 5,Percentage error,2.83,DARTS + c/o,-,Architecture Search,Learning Efficient Convolutional Networks through Network Slimming,/paper/learning-efficient-convolutional-networks,https://arxiv.org/pdf/1708.06519v1.pdf
CIFAR-10 Image Classification,,# 1,Params,3.4M,DARTS + c/o,-,Architecture Search,Learning Efficient Convolutional Networks through Network Slimming,/paper/learning-efficient-convolutional-networks,https://arxiv.org/pdf/1708.06519v1.pdf
One Billion Word,,# 14,PPL,51.3,RNN-1024 + 9 Gram,-,Language Modelling,One Billion Word Benchmark for Measuring Progress in Statistical Language Modeling,/paper/one-billion-word-benchmark-for-measuring,https://arxiv.org/pdf/1312.3005v3.pdf
One Billion Word,,# 1,Number of params,20B,RNN-1024 + 9 Gram,-,Language Modelling,One Billion Word Benchmark for Measuring Progress in Statistical Language Modeling,/paper/one-billion-word-benchmark-for-measuring,https://arxiv.org/pdf/1312.3005v3.pdf
Cityscapes Labels-to-Photo,,# 4,Class IOU,0.04,SimGAN,-,Image-to-Image Translation,Learning from Simulated and Unsupervised Images through Adversarial Training,/paper/learning-from-simulated-and-unsupervised,https://arxiv.org/pdf/1612.07828v2.pdf
Cityscapes Labels-to-Photo,,# 3,Per-class Accuracy,10%,SimGAN,-,Image-to-Image Translation,Learning from Simulated and Unsupervised Images through Adversarial Training,/paper/learning-from-simulated-and-unsupervised,https://arxiv.org/pdf/1612.07828v2.pdf
Cityscapes Labels-to-Photo,,# 8,Per-pixel Accuracy,20%,SimGAN,-,Image-to-Image Translation,Learning from Simulated and Unsupervised Images through Adversarial Training,/paper/learning-from-simulated-and-unsupervised,https://arxiv.org/pdf/1612.07828v2.pdf
Cityscapes Photo-to-Labels,,# 3,Per-pixel Accuracy,47%,SimGAN,-,Image-to-Image Translation,Learning from Simulated and Unsupervised Images through Adversarial Training,/paper/learning-from-simulated-and-unsupervised,https://arxiv.org/pdf/1612.07828v2.pdf
Cityscapes Photo-to-Labels,,# 4,Per-class Accuracy,11%,SimGAN,-,Image-to-Image Translation,Learning from Simulated and Unsupervised Images through Adversarial Training,/paper/learning-from-simulated-and-unsupervised,https://arxiv.org/pdf/1612.07828v2.pdf
Cityscapes Photo-to-Labels,,# 4,Class IOU,0.07,SimGAN,-,Image-to-Image Translation,Learning from Simulated and Unsupervised Images through Adversarial Training,/paper/learning-from-simulated-and-unsupervised,https://arxiv.org/pdf/1612.07828v2.pdf
Sintel-clean,,# 2,Average End-Point Error,4.54,LiteFlowNet,-,Optical Flow Estimation,LiteFlowNet: A Lightweight Convolutional Neural Network for Optical Flow Estimation,/paper/liteflownet-a-lightweight-convolutional,https://arxiv.org/pdf/1805.07036v1.pdf
Sintel-final,,# 2,Average End-Point Error,5.38,LiteFlowNet,-,Optical Flow Estimation,LiteFlowNet: A Lightweight Convolutional Neural Network for Optical Flow Estimation,/paper/liteflownet-a-lightweight-convolutional,https://arxiv.org/pdf/1805.07036v1.pdf
ISIC 2017,,# 1,Mean IoU,0.765,Automatic skin lesion segmentation with fully convolutional-deconvolutional networks,-,Lesion Segmentation,Automatic skin lesion segmentation with fully convolutional-deconvolutional networks,/paper/automatic-skin-lesion-segmentation-with-fully,https://arxiv.org/pdf/1703.05165v2.pdf
IEMOCAP,,# 1,F1,71.8,Ensemble (Random Forests + Gradient Boosted Trees + Multi Layer Perceptron + Multinomial Naive Bayes + Logistic Regression),-,Speech Emotion Recognition,Multimodal Speech Emotion Recognition and Ambiguity Resolution,/paper/multimodal-speech-emotion-recognition-and,https://arxiv.org/pdf/1904.06022v1.pdf
PASCAL VOC 2007,,# 5,MAP,47.6,ZLDN-L,-,Weakly Supervised Object Detection,Zigzag Learning for Weakly Supervised Object Detection,/paper/zigzag-learning-for-weakly-supervised-object,https://arxiv.org/pdf/1804.09466v1.pdf
PASCAL VOC 2012,,# 4,MAP,42.9,ZLDN-L,-,Weakly Supervised Object Detection,Zigzag Learning for Weakly Supervised Object Detection,/paper/zigzag-learning-for-weakly-supervised-object,https://arxiv.org/pdf/1804.09466v1.pdf
COCO,,# 35,Bounding Box AP,33.0,YOLOv3 + Darknet-53,-,Object Detection,YOLOv3: An Incremental Improvement,/paper/yolov3-an-incremental-improvement,https://arxiv.org/pdf/1804.02767v1.pdf
COCO,,# 5,MAP,33.1%,YOLOv3-tiny,-,Real-Time Object Detection,YOLOv3: An Incremental Improvement,/paper/yolov3-an-incremental-improvement,https://arxiv.org/pdf/1804.02767v1.pdf
COCO,,# 1,FPS,220,YOLOv3-tiny,-,Real-Time Object Detection,YOLOv3: An Incremental Improvement,/paper/yolov3-an-incremental-improvement,https://arxiv.org/pdf/1804.02767v1.pdf
COCO,,# 1,MAP,55.3%,YOLOv3-416,-,Real-Time Object Detection,YOLOv3: An Incremental Improvement,/paper/yolov3-an-incremental-improvement,https://arxiv.org/pdf/1804.02767v1.pdf
COCO,,# 3,FPS,34,YOLOv3-416,-,Real-Time Object Detection,YOLOv3: An Incremental Improvement,/paper/yolov3-an-incremental-improvement,https://arxiv.org/pdf/1804.02767v1.pdf
Atari 2600 Gravitar,,# 1,Score,3906,RND,-,Atari Games,Exploration by Random Network Distillation,/paper/exploration-by-random-network-distillation,https://arxiv.org/pdf/1810.12894v1.pdf
Atari 2600 Montezuma's Revenge,,# 1,Score,8152,RND,-,Atari Games,Exploration by Random Network Distillation,/paper/exploration-by-random-network-distillation,https://arxiv.org/pdf/1810.12894v1.pdf
Atari 2600 Pitfall!,,# 2,Score,-3,RND,-,Atari Games,Exploration by Random Network Distillation,/paper/exploration-by-random-network-distillation,https://arxiv.org/pdf/1810.12894v1.pdf
Atari 2600 Private Eye,,# 2,Score,8666,RND,-,Atari Games,Exploration by Random Network Distillation,/paper/exploration-by-random-network-distillation,https://arxiv.org/pdf/1810.12894v1.pdf
Atari 2600 Solaris,,# 2,Score,3282,RND,-,Atari Games,Exploration by Random Network Distillation,/paper/exploration-by-random-network-distillation,https://arxiv.org/pdf/1810.12894v1.pdf
Atari 2600 Venture,,# 1,Score,1859,RND,-,Atari Games,Exploration by Random Network Distillation,/paper/exploration-by-random-network-distillation,https://arxiv.org/pdf/1810.12894v1.pdf
FDDB,,# 1,AP,0.991,DSFD,-,Face Detection,DSFD: Dual Shot Face Detector,/paper/dsfd-dual-shot-face-detector,https://arxiv.org/pdf/1810.10220v3.pdf
WIDER Face (Easy),,# 1,AP,0.96,DSFD,-,Face Detection,DSFD: Dual Shot Face Detector,/paper/dsfd-dual-shot-face-detector,https://arxiv.org/pdf/1810.10220v3.pdf
WIDER Face (Hard),,# 1,AP,0.9,DSFD,-,Face Detection,DSFD: Dual Shot Face Detector,/paper/dsfd-dual-shot-face-detector,https://arxiv.org/pdf/1810.10220v3.pdf
WIDER Face (Medium),,# 1,AP,0.953,DSFD,-,Face Detection,DSFD: Dual Shot Face Detector,/paper/dsfd-dual-shot-face-detector,https://arxiv.org/pdf/1810.10220v3.pdf
Atari 2600 Alien,,# 10,Score,1620.0,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Alien,,# 19,Score,634.0,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Alien,,# 13,Score,1033.4,DDQN (tuned) hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Alien,,# 17,Score,823.7,Prior+Duel hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Amidar,,# 8,Score,978.0,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Amidar,,# 16,Score,178.4,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Amidar,,# 13,Score,238.4,Prior+Duel hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Amidar,,# 19,Score,169.1,DDQN (tuned) hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Assault,,# 14,Score,4280.4,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Assault,,# 17,Score,3489.3,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Assault,,# 4,Score,10950.6,Prior+Duel hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Assault,,# 10,Score,6060.8,DDQN (tuned) hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Asterix,,# 17,Score,4359.0,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Asterix,,# 19,Score,3170.5,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Asterix,,# 3,Score,364200.0,Prior+Duel hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Asterix,,# 13,Score,16837.0,DDQN (tuned) hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Asteroids,,# 13,Score,1458.7,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Asteroids,,# 14,Score,1364.5,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Asteroids,,# 15,Score,1193.2,DDQN (tuned) hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Asteroids,,# 18,Score,1021.9,Prior+Duel hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Atlantis,,# 17,Score,292491.0,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Atlantis,,# 18,Score,279987.0,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Atlantis,,# 10,Score,423252.0,Prior+Duel hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Atlantis,,# 16,Score,319688.0,DDQN (tuned) hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Bank Heist,,# 16,Score,455.0,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Bank Heist,,# 19,Score,312.7,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Bank Heist,,# 9,Score,1004.6,Prior+Duel hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Bank Heist,,# 14,Score,886.0,DDQN (tuned) hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Battle Zone,,# 9,Score,29900.0,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Battle Zone,,# 14,Score,23750.0,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Battle Zone,,# 8,Score,30650.0,Prior+Duel hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Battle Zone,,# 13,Score,24740.0,DDQN (tuned) hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Beam Rider,,# 15,Score,9743.2,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Beam Rider,,# 16,Score,8627.5,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Beam Rider,,# 2,Score,37412.2,Prior+Duel hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Beam Rider,,# 9,Score,17417.2,DDQN (tuned) hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Berzerk,,# 16,Score,585.6,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Berzerk,,# 17,Score,493.4,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Berzerk,,# 2,Score,2178.6,Prior+Duel hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Berzerk,,# 10,Score,1011.1,DDQN (tuned) hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Bowling,,# 9,Score,56.5,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Bowling,,# 12,Score,50.4,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Bowling,,# 4,Score,69.6,DDQN (tuned) hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Bowling,,# 12,Score,50.4,Prior+Duel hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Boxing,,# 9,Score,88.0,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Boxing,,# 16,Score,70.3,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Boxing,,# 10,Score,79.2,Prior+Duel hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Boxing,,# 13,Score,73.5,DDQN (tuned) hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Breakout,,# 10,Score,385.5,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Breakout,,# 15,Score,354.5,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Breakout,,# 12,Score,368.9,DDQN (tuned) hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Breakout,,# 14,Score,354.6,Prior+Duel hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Centipede,,# 13,Score,4657.7,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Centipede,,# 17,Score,3973.9,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Centipede,,# 10,Score,5570.2,Prior+Duel hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Centipede,,# 18,Score,3853.5,DDQN (tuned) hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Chopper Command,,# 10,Score,6126.0,DQN noop,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
Atari 2600 Chopper Command,,# 12,Score,5017.0,DQN hs,-,Atari Games,Deep Reinforcement Learning with Double Q-learning,/paper/deep-reinforcement-learning-with-double-q,https://arxiv.org/pdf/1509.06461v3.pdf
